NAME,COMPANY_PROFILE,LOCATION,ADDRESS,ESTABLISHMENT_TIME,WEBSITE,CONTACT_NAME,EMAIL
1UP CARGO INC.,"1UP CARGO is a family owned and operated freight forwarding and Customs brokerage with its own 10 offices across Australia ,Canada., USA , South Africa & New Zealand 
At 1UP CARGO, we take ownership of the international supply chain to ensure that your clients get the best service they demand, and keeps them coming back to engage with you, time after time. We pride ourselves on staying on the cutting edge of innovations in the transport industry and remain agile enough to adapt to these changes as the opportunities present themselves.","Punjab, India","1UP CARGO INC,20 Bay Street,11th Floor,TorontoON, M5J 2N8",2018,www.1upcargo.com,Sarah Karol,shamaazath@gmail.com
1UP CARGO,"Our Story : 1UP Cargo is one of the Leading Supply Chain and Freight Forwarding Solution providers. The Family Firm was formed by a Merger of multiple independent business units across Australia, Canada, New Zealand and South Africa.  1UP Cargo is a one-stop transportation provider with a Network of more than 3500 Agents Worldwide and own offices in two Continents.  What sets us apart is our hands on, dedicated Supply Chain Professionals who can assist you around the clock. We pride ourselves on having the right mix of Youth and Experience within our teams to ensure Dedication to your Supply Chain whilst also being able to stay on the front foot within a changing industry and remaining agile enough to modify our business practices to make use of any competitive advantages we may be able to achieve.","Los Angeles, United States","777 S Alameda St. Los Angeles, CA 90021",2018,https://www.1upcargo.com,Mike Philpot,us.jctrans@1upcargo.com
1UP CARGO,"1UP CARGO is a Family Owned and Operated Freight Forwarding and Customs Brokerage with its own offices across Australia and CanadaWe take ownership of the international Supply Chain to ensure that your clients get the best in class service that they demand, and we believe this keeps them coming back to engage with you, time after time. We pride ourselves on staying on the cutting edge of innovations in the International transport industry and remain agile enough to adapt to these changes as the opportunities present themselves. We believe in engaging all Stakeholders within the International supply chain, which include nurturing our relationships with Tier 1 Carrier contacts. These relationships ensure that we remain competitive whilst also being able to back-up our service commitment to our agents and clientsWe have a good mix of industry veterans and youth staff that can understand and relate to your clients’ needs, before they even know what they are. With accreditations in place with all Peak Industry Bodies, you and your team are dealing with a Quality Assured agent with strict KPIs in place that make doing business easier and more successful. Some of our key services include: 1	General Freight Forwarding Export & Import Services 2	Customs and AQIS Brokerage 3	Time Critical and Dangerous Goods Transport 4	FBA and E-Commerce Fulfilments 5	Project & OOG Cargo 6	Food and Beverages Cargo 7	PO Management8	24/7 contact through email,amy@sinooceancn.com, wechat and skype and landlines","Sydney, Australia","Level 4, 29 Kiora Road, Miranda, NSW 2228",2017,www.1upcargo.com,Rin Nguyen,au.jctrans@1upcargo.com
SINOOCEAN GROUP LTD.,"SINOOCEAN GROUP LTD. was established in 1999. Have more than 600 staffs so far. As an International Logistics forwarder, Sino-Ocean got formal approval by Chinese Foreign Trade and Economic Cooperation Ministry, and got the qualification of NVOCC (MOC-NV 02462) by Ministry of Transportation of People’s Republic ofChina.We are doing sea freight,air freight,trucking,custom clearance,warehousing,DDP,DDU,etc.We have branches in Shanghai,Ningbo,Guangzhou,Foshan,Zhongshan,etc.There are about 600 staffs in our company.","Shenzhen, China","4F,WEST BLOCK,BUILDING 428,NO.43 BAGUA ROAD,FUTIAN DISTRICT , SHENZHEN CITY,GUANGDONG PROVINCE,PRC.",2004,www.sinooceancn.com/en/,Amy,amy@sinooceancn.com
Real Logistics Sp. z o.o. Sp. K.,"E-mail: jctrans@real-logistics.pl
Real Logistics: Your Partner for Comprehensive Global Shipping Solutions
Real Logistics is your trusted partner for logistics services tailored to meet your business needs, whether for local or international operations. Specializing in transport between China and Europe, we leverage our dedicated railway connections, including the essential route from Chengdu to Malaszewicze on the New Silk Road. Our door-to-door services ensure that your cargo is managed with utmost care and efficiency throughout Europe and beyond.
Transport Services: Flexibility Across Multiple Modes
We guarantee that your shipments, large or small, are transported with precision. Whether you require Full Container Load (FCL) or Less than Container Load (LCL) services, we have solutions to meet your requirements. Our transport options include sea freight, rail freight, and air freight, allowing you the flexibility to choose based on cargo size, destination, and time constraints.
Efficient Load Consolidation in China
For clients looking to consolidate shipments in China, we offer advanced consolidation services that minimize transit times. Our Chengdu office manages rail connections to Malaszewicze, ensuring reliable transport with an impressive transit time of just 14 days. This quick turnaround facilitates seamless movement from Asia to Europe, optimizing your supply chain.
Secure Warehousing Solutions
Our network of bonded warehouses in Europe guarantees safe storage and careful handling of your cargo. One key facility is located in Gdansk, Poland, just 5 minutes from the Baltic Hub Container Terminal, enabling faster handling of goods.
Global Partnerships for Enhanced Logistics
Real Logistics is proud to be a member of several prominent global freight networks, including WIFFA, WCA, JC Trans, AiLa, MPL, and OLO. These partnerships enhance our capabilities, allowing us to provide reliable and efficient logistics solutions worldwide.
Multilingual Team for Seamless Communication
Our dedicated team provides excellent customer service in multiple languages, including English, Chinese, and Russian, facilitating smooth logistics planning.
Certified for Excellence
We are committed to quality, with our customs agencies being AEO certified and IATA certified for air freight.
Always Available to Meet Your Needs
Our offices in Poland and China operate 24/7, ensuring expert support whenever needed. Choose Real Logistics for global reach and local expertise, delivering tailored solutions for success in today's competitive market.","Wroclaw, Poland","Strzegomska 140A, 54-429 Wroclaw",2006,www.real-logistics.pl,Paweł Markiewicz,jctrans@real-logistics.pl
TRANSMATIC EXPRESS LIMITED,"We established in 1992 with 48 staffs and have Taipei HQ, Keelung, Taoyuan and Tainan branch. 
We are serving Included Air & Ocean -export + import, Custom clearance for 
air/sea cover import/export, Logistics, Exhibition + Project + DG cgo , Event traffic & Cross-Trade Business.
We have AMS / FMC for USA shpt.  Pls be reported the % of Air traffic at 55% + Ocean traffic at 45% / Export at 75% + Import at 25%.","Taipei, Taiwan-China","2F, NO. 32, SEC1, CHENG GUNG ROAD, TAIPEI 115 ,  TAIWAN",1990,www.transmatic.com.tw,SANDY CHIEN,sandy@transmatic.com.tw
"TIMES CARGO LOGISTIC CO., LTD","Times Cargo Logistic Co., Ltd (TCL) was established on Jan 2010 in Ho Chi Minh City, Vietnam. With the continuous development, we expand business and are running 07 offices including over 170 staffs until now.
We are proud of having strong relationship with most of carrier that can give you the competitive rate to any destination in the world.
Our mission is diversifying products professionally to give you: “An Integrated Logistics Solution”. Through many years, we gradually meet this target with various mode of transportation from sea, air, inland trucking to multimodal- transportation.
Please have a look about our below brief and make a chance for our cooperation.
Something about us:
-	Professional and capable staffs
-	24/7 Duty Officer Service
-	Long term relationship with carriers/ air lines/ credible trucking agents
-	Standardized operation process to give the efficient management in controlling your shipments.
-	We offer Unique and tailored services depending on each customer’s requirement
Our advantages:
-	We have 02 offices specialized in custom clearance, which will create  conditions to care your shipments. Meanwhile, some another forwarder have to use outsourcing service that may cause inconvenience in processing documents and increase the cost.
-	Because of the different characteristics among factories, we provide  and tailored solution by allocating 01 team working at factory to assist for each specific problem
-	We are in top 5 of handling transit cargo from Vietnam to Cambodia
-	Having 01 office at Cambodia border to assist for any urgent case of “transit to Cambodia shipments”
-	We are one of 21 local forwarders having USA FMC bond, which admit our legitimacy at America and we can sign direct contract with carriers
-	Our bill is under liability insurance at Bao Minh Cooperation
-	Have branch office at the North of Vietnam that can facilitate  for the North shipments
-	Have experience in handling Project, Breakbulk and Dangerous cargo","Ho Chi Minh City, Vietnam","Yuson Tower, 273B Ton Dan Str., Ward 15, Dist. 4 , Ho Chi Minh City, Viet Nam",2010,www.tcllogistic.com,Colin Quach,colin@tcllogistic.com
"Shenzhen Haiyuan International Logisitics Co., Ltd.","Company Profile
Shenzhen Haiyuan International Forwarding Co.，LTD is a Class-A freight forwarder in China, Our Company registered and authorized by the business sector of China. Since Haiyuan's inception, the company develop rapidly, and our network covers most of the main port cities in China, such as Shenzhen Guangzhou, Shantou, Dongguan, ZhongShan,Foshan ,Chongqiang and Chengdu etc .
Haiyuan has developed a experienced senior professionals team, and ensure the  operation and service througth the high efficient operation system and the maturity logistic network. In the industry of Freight forwarders which is fierce competition, Haiyuan's good service and kind image won the fine reputation in the customers and established ourselves brand.
Our Development Process
In 2008,Shenzhen Hai Yuan International Logistics Co.,Ltd headquarters was
set up.
In 2008,Shenzhen Hai Yuan International Logistics Co.,Ltd (Shantou office) was
established.
In 2010,Shenzhen Hai Yuan International Logistics Co.,Ltd (Dongguan office)
was founded.
In 2012,Shenzhen Hai Yuan International Logistics Co.,Ltd (Zhongshan office)
was founded.
In 2015,Shenzhen Hai Yuan International Logistics Co.,Ltd (Guangzhou office)
was founded.
In 2016,Shenzhen Hai Yuan International Logistics Co.,Ltd (FOSHAN office) was
founded.
In 2017,Shenzhen Hai Yuan International Logistics Co.,Ltd (ChongQing office)
set up.
Our Main Business
Sea freight 
Air freight 
Trucking/Warehouse
Express
Customs Brokerage
Cargo insurance
Project cargo
Railway
DDU/DDP
Export Document (CO/FA/FE Also)
Our Partner
About shipping line, we cooperater with MSK, EMC,CSCL,COSCO,OOCL,MSC,APL,HJ,WHL,CMA.And keep good relationship with YML,PIL,TS_LINE,KMTC,ZIM,K LINE,HPL.Our major market is Southest asia ,Middle east and Europe .","Shenzhen, China","1001E MIDDLE STAIRS,JINYUAN BUILDING, NO.148,ZHONGSHAN ROAD,JINPING DISTRICT,SHANTOU, GUANGDONG,CHINA",2012,www.szhyocean.com,IVY,ivy@haiyuanlog.com
Sebi S.R.L.,"Sebi was born in 1974 as customs broker based at the the two Milan airports, Malpensa and Linate.
Right from the start, we decided to focus our attention on the international trade, in particular for the US import market building up a strong network USA-Italy.
The desire to satisfy multiple customer needs, followed by the new global market scenario, prompted us to widen our network of partners, reaching out world-wide to cover all the major industrialized countries.
In 1999 Sebi moved its headquarters to the heart of the Ticino River Park, at 3 km from Malpensa airport. In the new location, we considerably expanded the working areas, setting up warehouses for customs clearance and other logistics activities but in particular for customs procedures of import/export of full containers.
Over the years, the management of Sebi has faced with commitment, the ever more demanding requests from the global market. The company offers its services with its own personal style founded on simple values that don’t aim at just financial returns but rather put the heart behind every decision.
Thanks to the skills and knowledge of our personnel and their enthusiasm and desire to pursue new objectives, Sebi is committed to repaying the trust placed in us by our clients. The numerous certifications we have achieved up to today are testimony to that desire to grow, continually improving.","Milan, Italy",Via Locatelli n. 2,1985,www.sebigroup.com,Massimo Bonicalzi,sales@sebigroup.com
PT. SHOKA CHANDRA ARMADA,"Scada Logistics are transportation specialists providing quality services in
International Freight Forwarding for Bulk, Containerized, Project shipments,
and, Domestic Air, Sea and Land Transportation, together with comprehensive
Logistics services in Indonesia that include Warehousing and Distribution Our
commitment is to provide consistent, innovative and value-added services to
our customers. We strongly believe in meeting the needs of our customers
and will always go beyond the norm in our service and business practices to
ensure excellence in delivery and results.
Our organization is made up of highly trained and professional members
equipped with the right competencies and proper facilities to ensure seamless
service. They are managed by a management team comprised of practitioners
with many years of hands-on commercial and operational experience not just
in Indonesia but in the South-east and East Asia.
SCADA was established by some experience passionate people in the logistic
field to dedicate itself in order to provide customer’s need and extend trade
activity link both worldwide and domestic.
Not only container services (both air and sea), but SCADA also provide
trucking, warehouse, ship, custom broker, and all kind of logistics demand that
customer’s need.
With a deep commitment, we facilitate customer special needs based on their
special cargo and we handle it not only as forwarder but also as an architect in
transportation that give an advice for all of the oportunities in logistics lane.","Jakarta, Indonesia","JL. PROKLAMASI NO. 53 PEGANGSAAN - MENTENG，JAKARTA ,Indonesia",2016,www.scadalogistics.com,Danni Kurnia Chandra,danni@scadalogistics.com
